epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.9070093631744385,0.27382588386535645,0.9070093631744385,0.9070093631744385,0.8884026408195496,0.4254327416419983,0.8884026408195496,0.8884026408195496
1,0.9061915874481201,0.25772035121917725,0.9061915874481201,0.9061915874481201,0.8938730955123901,0.4111863374710083,0.8938730955123901,0.8938730955123901
2,0.9146028161048889,0.24480821192264557,0.9146028161048889,0.9146028161048889,0.8971553444862366,0.3874073028564453,0.8971553444862366,0.8971553444862366
3,0.9141355156898499,0.25061535835266113,0.9141355156898499,0.9141355156898499,0.8944201469421387,0.39837542176246643,0.8944201469421387,0.8944201469421387
4,0.9193925261497498,0.23260128498077393,0.9193925261497498,0.9193925261497498,0.8933260440826416,0.3832133114337921,0.8933260440826416,0.8933260440826416
5,0.9184579253196716,0.2241685688495636,0.9184579253196716,0.9184579253196716,0.891684889793396,0.4206986129283905,0.891684889793396,0.891684889793396
6,0.9184579253196716,0.23689472675323486,0.9184579253196716,0.9184579253196716,0.8938730955123901,0.4175057113170624,0.8938730955123901,0.8938730955123901
7,0.9198598265647888,0.22503258287906647,0.9198598265647888,0.9198598265647888,0.9009847044944763,0.3982686996459961,0.9009847044944763,0.9009847044944763
8,0.9231308698654175,0.21858596801757812,0.9231308698654175,0.9231308698654175,0.8977023959159851,0.39989274740219116,0.8977023959159851,0.8977023959159851
9,0.9170560836791992,0.22328120470046997,0.9170560836791992,0.9170560836791992,0.8987964987754822,0.40172678232192993,0.8987964987754822,0.8987964987754822
10,0.9206775426864624,0.21603089570999146,0.9206775426864624,0.9206775426864624,0.8949671983718872,0.41463106870651245,0.8949671983718872,0.8949671983718872
11,0.9181074500083923,0.22985520958900452,0.9181074500083923,0.9181074500083923,0.8905907869338989,0.41888782382011414,0.8905907869338989,0.8905907869338989
12,0.9211448431015015,0.21894042193889618,0.9211448431015015,0.9211448431015015,0.8938730955123901,0.40815460681915283,0.8938730955123901,0.8938730955123901
13,0.923481285572052,0.21447524428367615,0.923481285572052,0.923481285572052,0.8905907869338989,0.4154371917247772,0.8905907869338989,0.8905907869338989
14,0.9210280179977417,0.22812582552433014,0.9210280179977417,0.9210280179977417,0.9004376530647278,0.38578736782073975,0.9004376530647278,0.9004376530647278
15,0.9224299192428589,0.21949219703674316,0.9224299192428589,0.9224299192428589,0.9020787477493286,0.4070557653903961,0.9020787477493286,0.9020787477493286
16,0.9218457937240601,0.2188475877046585,0.9218457937240601,0.9218457937240601,0.8998906016349792,0.41685226559638977,0.8998906016349792,0.8998906016349792
17,0.9240654110908508,0.2115280032157898,0.9240654110908508,0.9240654110908508,0.9059081077575684,0.37683364748954773,0.9059081077575684,0.9059081077575684
18,0.9200934767723083,0.2192889153957367,0.9200934767723083,0.9200934767723083,0.8998906016349792,0.3995082974433899,0.8998906016349792,0.8998906016349792
19,0.9204439520835876,0.22520053386688232,0.9204439520835876,0.9204439520835876,0.891684889793396,0.4146048128604889,0.891684889793396,0.891684889793396
20,0.9216121435165405,0.21603301167488098,0.9216121435165405,0.9216121435165405,0.896608293056488,0.40463635325431824,0.896608293056488,0.896608293056488
21,0.9212616682052612,0.20957501232624054,0.9212616682052612,0.9212616682052612,0.8987964987754822,0.39885929226875305,0.8987964987754822,0.8987964987754822
22,0.9233644604682922,0.22111262381076813,0.9233644604682922,0.9233644604682922,0.8977023959159851,0.3950580656528473,0.8977023959159851,0.8977023959159851
23,0.9221962690353394,0.21718630194664001,0.9221962690353394,0.9221962690353394,0.9015317559242249,0.4198896884918213,0.9015317559242249,0.9015317559242249
24,0.9221962690353394,0.21100176870822906,0.9221962690353394,0.9221962690353394,0.8955142498016357,0.39172613620758057,0.8955142498016357,0.8955142498016357
25,0.923481285572052,0.2121657431125641,0.923481285572052,0.923481285572052,0.8933260440826416,0.3973671793937683,0.8933260440826416,0.8933260440826416
26,0.9238317608833313,0.207929328083992,0.9238317608833313,0.9238317608833313,0.8933260440826416,0.41497355699539185,0.8933260440826416,0.8933260440826416
27,0.9248831868171692,0.21397311985492706,0.9248831868171692,0.9248831868171692,0.896608293056488,0.4141359329223633,0.896608293056488,0.896608293056488
28,0.9189252257347107,0.2207927107810974,0.9189252257347107,0.9189252257347107,0.8960612416267395,0.4096601903438568,0.8960612416267395,0.8960612416267395
29,0.9248831868171692,0.21153593063354492,0.9248831868171692,0.9248831868171692,0.8927789926528931,0.40486374497413635,0.8927789926528931,0.8927789926528931
30,0.9202103018760681,0.21703718602657318,0.9202103018760681,0.9202103018760681,0.8993435502052307,0.39358824491500854,0.8993435502052307,0.8993435502052307
31,0.9239485859870911,0.2110995650291443,0.9239485859870911,0.9239485859870911,0.8938730955123901,0.4019699990749359,0.8938730955123901,0.8938730955123901
32,0.921378493309021,0.21956458687782288,0.921378493309021,0.921378493309021,0.8993435502052307,0.39471590518951416,0.8993435502052307,0.8993435502052307
33,0.9251168370246887,0.21220949292182922,0.9251168370246887,0.9251168370246887,0.9009847044944763,0.40667232871055603,0.9009847044944763,0.9009847044944763
34,0.9268691539764404,0.21556450426578522,0.9268691539764404,0.9268691539764404,0.8944201469421387,0.412543386220932,0.8944201469421387,0.8944201469421387
35,0.9244158864021301,0.21224702894687653,0.9244158864021301,0.9244158864021301,0.896608293056488,0.41328680515289307,0.896608293056488,0.896608293056488
36,0.9245327115058899,0.2094658613204956,0.9245327115058899,0.9245327115058899,0.8987964987754822,0.40649157762527466,0.8987964987754822,0.8987964987754822
37,0.9233644604682922,0.2198062241077423,0.9233644604682922,0.9233644604682922,0.8987964987754822,0.39533451199531555,0.8987964987754822,0.8987964987754822
38,0.9273364543914795,0.20346777141094208,0.9273364543914795,0.9273364543914795,0.9053610563278198,0.39204561710357666,0.9053610563278198,0.9053610563278198
39,0.917640209197998,0.22647365927696228,0.917640209197998,0.917640209197998,0.9020787477493286,0.3857989013195038,0.9020787477493286,0.9020787477493286
40,0.9244158864021301,0.2102605104446411,0.9244158864021301,0.9244158864021301,0.8960612416267395,0.4038068354129791,0.8960612416267395,0.8960612416267395
41,0.9209111928939819,0.2179497629404068,0.9209111928939819,0.9209111928939819,0.8993435502052307,0.3965485095977783,0.8993435502052307,0.8993435502052307
42,0.9272196292877197,0.20460627973079681,0.9272196292877197,0.9272196292877197,0.8977023959159851,0.3954107165336609,0.8977023959159851,0.8977023959159851
43,0.9265186786651611,0.20834888517856598,0.9265186786651611,0.9265186786651611,0.8944201469421387,0.4034581184387207,0.8944201469421387,0.8944201469421387
44,0.9274532794952393,0.20498797297477722,0.9274532794952393,0.9274532794952393,0.8998906016349792,0.4013005793094635,0.8998906016349792,0.8998906016349792
45,0.9203271269798279,0.21231582760810852,0.9203271269798279,0.9203271269798279,0.8998906016349792,0.3800681233406067,0.8998906016349792,0.8998906016349792
46,0.9276869297027588,0.1991058737039566,0.9276869297027588,0.9276869297027588,0.8977023959159851,0.3950939178466797,0.8977023959159851,0.8977023959159851
47,0.927570104598999,0.21030572056770325,0.927570104598999,0.927570104598999,0.9009847044944763,0.41080185770988464,0.9009847044944763,0.9009847044944763
48,0.9221962690353394,0.21188823878765106,0.9221962690353394,0.9221962690353394,0.8987964987754822,0.40814685821533203,0.8987964987754822,0.8987964987754822
49,0.9258177280426025,0.2073112428188324,0.9258177280426025,0.9258177280426025,0.8998906016349792,0.4168306291103363,0.8998906016349792,0.8998906016349792
