epoch,accuracy,loss,val_accuracy,val_loss
0,0.59112149477005,1.2986955642700195,0.7937636971473694,0.6739209890365601
1,0.735397219657898,0.8175970911979675,0.8243982791900635,0.6063730120658875
2,0.7678738236427307,0.7091350555419922,0.828774631023407,0.6305005550384521
3,0.7925233840942383,0.6263483166694641,0.8457330465316772,0.48202064633369446
4,0.8079439401626587,0.5809666514396667,0.8457330465316772,0.5726557970046997
5,0.8209112286567688,0.5372413992881775,0.8741794228553772,0.47684022784233093
6,0.8374999761581421,0.48875629901885986,0.8512035012245178,0.53350430727005
7,0.8382009267807007,0.48447173833847046,0.8714442253112793,0.4604586362838745
8,0.8481308221817017,0.44334471225738525,0.8730853199958801,0.46486541628837585
9,0.8599299192428589,0.41557320952415466,0.863238513469696,0.5345982909202576
10,0.8660046458244324,0.39205148816108704,0.8719912767410278,0.44273841381073
11,0.8691588640213013,0.38357919454574585,0.8769146800041199,0.4073483347892761
12,0.8738317489624023,0.37009739875793457,0.8605032563209534,0.5078233480453491
13,0.8781542181968689,0.3565051555633545,0.8807439804077148,0.4193120300769806
14,0.881191611289978,0.34331580996513367,0.8823851346969604,0.5114089250564575
15,0.8829439282417297,0.3420378565788269,0.8785557746887207,0.5412660837173462
16,0.8898364305496216,0.3293722867965698,0.862144410610199,0.4960118234157562
17,0.8886682391166687,0.3204616606235504,0.8451859951019287,0.7158282399177551
18,0.89322429895401,0.3028576672077179,0.8801969289779663,0.4759754240512848
19,0.8959112167358398,0.30326971411705017,0.8834792375564575,0.45413705706596375
0,0.19007009267807007,2.6970460414886475,0.3419037163257599,2.189723014831543
1,0.2753504812717438,2.153127431869507,0.40864333510398865,1.8216882944107056
2,0.35198599100112915,1.8336215019226074,0.49015316367149353,1.696521282196045
3,0.4132009446620941,1.5996798276901245,0.5574398040771484,1.6310398578643799
4,0.465654194355011,1.4117193222045898,0.6597374081611633,1.0841765403747559
5,0.5039719343185425,1.2570136785507202,0.5361050367355347,1.4586174488067627
6,0.5357476472854614,1.1012777090072632,0.6766958236694336,1.122811198234558
7,0.5801401734352112,0.9760840535163879,0.6859956383705139,1.3041871786117554
8,0.6142523288726807,0.9198243021965027,0.6947483420372009,1.211333990097046
9,0.6283878684043884,0.8483004570007324,0.7111597657203674,0.9944815039634705
10,0.6553738117218018,0.8082423210144043,0.7379649877548218,0.8290456533432007
11,0.6766355037689209,0.7264179587364197,0.7379649877548218,0.8558006286621094
12,0.6830607652664185,0.713310718536377,0.7576586604118347,0.9082209467887878
13,0.6955607533454895,0.6725202202796936,0.7592997550964355,0.936140775680542
14,0.7168224453926086,0.6371065974235535,0.7735229730606079,0.8720947504043579
